Probe set,Descriptions,BCR-ABL-R4 Avg Diff,BCR-ABL-R4 Abs Call,MLL-R5 Avg Diff,MLL-R5 Abs Call,Normal-R4 Avg Diff,Normal-R4 Abs Call,T-ALL-R7 Avg Diff,T-ALL-R7 Abs Call,T-ALL-R8 Avg Diff,T-ALL-R8 Abs Call,Hyperdip>50-2M#3 Avg Diff,Hyperdip>50-2M#3 Abs Call,Hypodip-2M#3 Avg Diff,Hypodip-2M#3 Abs Call,Hypodip-2M#2 Avg Diff,Hypodip-2M#2 Abs Call
41112_at,"Cluster Incl. AB011129:Homo sapiens mRNA for KIAA0557 protein, partial cds /cds=(0,1482) /gb=AB011129 /gi=3043637 /ug=Hs.101414 /len=5627",-2182.5999999999999,A,453,A,1166.7,P,-18.5,A,577.70000000000005,A,-480.10000000000002,A,56.399999999999999,A,-33.899999999999999,A
41113_at,"Cluster Incl. AI871396:wl81f07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2431333 /clone_end=3   /gb=AI871396 /gi=5545445 /ug=Hs.101414 /len=521",2100.5,A,6026.6000000000004,A,3475.6999999999998,P,2542.9000000000001,P,3061.6999999999998,A,1930.5999999999999,P,2952.4000000000001,P,2037.5,A
41114_at,"Cluster Incl. AB018350:Homo sapiens mRNA for KIAA0807 protein, partial cds /cds=(0,3799) /gb=AB018350 /gi=3882334 /ug=Hs.101474 /len=4049",-1052.4000000000001,A,-2431.5999999999999,A,-2897.3000000000002,A,-2015.9000000000001,A,-5623.5,A,-1989.4000000000001,A,-1956.7,A,-3437.5999999999999,A
41115_s_at,"Cluster Incl. AB018277:Homo sapiens mRNA for KIAA0734 protein, partial cds /cds=(0,3561) /gb=AB018277 /gi=3882188 /ug=Hs.101516 /len=4518",-2467.9000000000001,A,-526,A,-1189.0999999999999,A,-3463.8000000000002,A,-272.10000000000002,A,-1994.5999999999999,A,-2852.6999999999998,A,-2581.4000000000001,A
41116_at,"Cluster Incl. AI799802:wc43d09.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2321393 /clone_end=3   /gb=AI799802 /gi=5365274 /ug=Hs.101516 /len=688",9221.6000000000004,P,8758.7999999999993,P,3409.3000000000002,A,3874.5,P,5263.8000000000002,A,3360,P,3113.4000000000001,M,2631.5999999999999,M
41117_s_at,"Cluster Incl. AB016243:Homo sapiens gene for regulatory factor 2 of sodium/hydrogen exchanger isoform A3, complete cds /cds=(96,1109) /gb=AB016243 /gi=3618352 /ug=Hs.101813 /len=1606",9502.7000000000007,P,17593.599999999999,A,5044.3999999999996,A,5332.1999999999998,A,6493.5,A,7935.5,A,5173,A,10512.200000000001,P
41118_at,"Cluster Incl. AI921843:wp07a11.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2464124 /clone_end=3   /gb=AI921843 /gi=5657807 /ug=Hs.101821 /len=676",2031.9000000000001,A,2341.6999999999998,A,1428.3,A,452.5,A,-1861.7,A,1132.8,A,927.5,A,-73.200000000000003,A
41119_f_at,Cluster Incl. W27452:31b5 Homo sapiens cDNA /gb=W27452 /gi=1307256 /ug=Hs.101821 /len=813,-1469.4000000000001,A,-2369.8000000000002,A,199.69999999999999,A,681.29999999999995,A,-321.10000000000002,A,70.900000000000006,A,-747.39999999999998,A,135.30000000000001,A
41120_at,"Cluster Incl. D14686:Human gene for glycine cleavage system T-protein /cds=(145,1356) /gb=D14686 /gi=994760 /ug=Hs.102 /len=2119",1388.5999999999999,A,4278.8999999999996,P,2997.1999999999998,P,389.5,A,1444.5,A,797,P,957.70000000000005,A,1820.9000000000001,A
41121_at,"Cluster Incl. AA203345:zx56b04.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-446479 /clone_end=5   /gb=AA203345 /gi=1799053 /ug=Hs.102178 /len=914",772.70000000000005,A,3412.1999999999998,A,2530.0999999999999,A,932.89999999999998,A,-1224,A,536.60000000000002,P,-1203.0999999999999,A,86,A
41362_at,"Cluster Incl. X91249:H.sapiens mRNA for white gene protein /cds=(30,2054) /gb=X91249 /gi=1160185 /ug=Hs.10237 /len=2909",3885.8000000000002,P,465.89999999999998,A,742.89999999999998,A,1895.2,P,1572.3,P,713.20000000000005,A,719.5,A,1338.7,A
41363_at,"Cluster Incl. AF027150:Homo sapiens survival of motor neuron protein interacting protein 1 (SIP1) mRNA, complete cds /cds=(83,925) /gb=AF027150 /gi=2570924 /ug=Hs.102456 /len=1285",-1808,A,2531,A,-100.90000000000001,A,-8.9000000000000004,A,-555,A,542.39999999999998,A,-210.09999999999999,A,147.69999999999999,A
41364_r_at,"Cluster Incl. AB014580:Homo sapiens mRNA for KIAA0680 protein, complete cds /cds=(47,1951) /gb=AB014580 /gi=3327173 /ug=Hs.102471 /len=4318",-1718.2,A,4203.5,P,255.30000000000001,A,656,A,-1644,A,249.19999999999999,A,325.69999999999999,A,812.29999999999995,A
41365_at,"Cluster Incl. Y09788:H.sapiens MUC5B gene /cds=(0,2538) /gb=Y09788 /gi=2370132 /ug=Hs.102482 /len=3100",-1028.4000000000001,A,1909.7,A,-1.6000000000000001,A,-966.5,A,501.10000000000002,A,-1612.9000000000001,A,-851.70000000000005,A,-1894.0999999999999,A
41366_at,"Cluster Incl. AB023219:Homo sapiens mRNA for KIAA1002 protein, complete cds /cds=(800,3322) /gb=AB023219 /gi=4589647 /ug=Hs.102483 /len=4331",7534.8999999999996,P,2337.3000000000002,A,8976.2999999999993,P,3914.8000000000002,P,9304.3999999999996,P,4954.6000000000004,P,5032.8000000000002,P,4569.1000000000004,P
41367_at,"Cluster Incl. Z49826:H.sapiens mRNA for hepatocyte nuclear factor 4 gamma /cds=(689,3013) /gb=Z49826 /gi=1217962 /ug=Hs.102867 /len=3248",738.5,A,2008.3,P,433.39999999999998,A,800.70000000000005,A,2419.0999999999999,A,222.19999999999999,A,1319.5999999999999,A,182.59999999999999,A
41368_at,"Cluster Incl. AA922934:oh10g06.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1457434 /clone_end=3   /gb=AA922934 /gi=3070243 /ug=Hs.102867 /len=483",1071.8,A,615.5,A,-564.39999999999998,A,-54.600000000000001,A,-1494.7,A,-423.69999999999999,A,-927.20000000000005,A,765.39999999999998,A
41369_at,"Cluster Incl. J05125:Human triglyceride lipase mRNA, complete cds /cds=(12,1409) /gb=J05125 /gi=339596 /ug=Hs.102876 /len=1471",-629.89999999999998,A,3362.1999999999998,A,340,A,182.80000000000001,A,-565.79999999999995,A,-914.10000000000002,A,71.400000000000006,A,357.10000000000002,A
41370_at,"Cluster Incl. AF090988:Homo sapiens U5 snRNP-specific 40 kDa protein mRNA, complete cds /cds=(15,1088) /gb=AF090988 /gi=3820593 /ug=Hs.10290 /len=1487",3274.9000000000001,P,-966.70000000000005,A,2641.3000000000002,P,2957.8000000000002,P,5642.3999999999996,P,2376.3000000000002,P,2669.4000000000001,P,2025.7,M
41371_at,"Cluster Incl. Y07595:H.sapiens mRNA for 52 kD subunit of transcription factor TFIIH /cds=(127,1515) /gb=Y07595 /gi=1514596 /ug=Hs.102910 /len=1634",1000.4,A,-2420.8000000000002,A,1057.9000000000001,A,1900.5999999999999,M,579.29999999999995,A,503.10000000000002,A,-159.59999999999999,A,1056.3,A
41372_at,"Cluster Incl. AB020638:Homo sapiens mRNA for KIAA0831 protein, complete cds /cds=(576,1715) /gb=AB020638 /gi=4240150 /ug=Hs.103000 /len=4943",3341.5999999999999,A,2749.3000000000002,A,2588.3000000000002,P,773.20000000000005,A,45,A,3129.1999999999998,P,2016.2,P,1835.7,P
41373_s_at,Cluster Incl. W27148:23g6 Homo sapiens cDNA /gb=W27148 /gi=1306727 /ug=Hs.103042 /len=763,543.89999999999998,A,-2564.5,A,-407.60000000000002,A,440.89999999999998,A,535,A,431.89999999999998,A,736.89999999999998,A,-846.60000000000002,A
41374_at,"Cluster Incl. AB016869:Homo sapiens mRNA for p70 ribosomal S6 kinase beta, complete cds /cds=(15,1502) /gb=AB016869 /gi=3882084 /ug=Hs.103081 /len=1735",3752.5,A,12400,P,4671.6000000000004,P,4838.3999999999996,P,3861.9000000000001,A,5558.6999999999998,P,3894.5999999999999,P,5636.6000000000004,P
41375_at,"Cluster Incl. AJ245416:Homo sapiens mRNA for G7b protein (G7b gene, located in the class III region of the major histocompatibility complex /cds=(218,505) /gb=AJ245416 /gi=5701851 /ug=Hs.103106 /len=864",18794.799999999999,P,4767.5,A,10361.6,P,10318.299999999999,P,9571.8999999999996,P,21979.299999999999,P,12034.1,P,12061.1,P
41376_i_at,"Cluster Incl. J05428:Human 3,4-catechol estrogen UDP-glucuronosyltransferase mRNA, complete cds /cds=(14,1603) /gb=J05428 /gi=340079 /ug=Hs.10319 /len=1855",804.5,A,-2033.9000000000001,A,-345.19999999999999,A,1780.9000000000001,P,712.70000000000005,A,-611.89999999999998,A,-1256.7,A,-1058.7,A
41377_f_at,"Cluster Incl. J05428:Human 3,4-catechol estrogen UDP-glucuronosyltransferase mRNA, complete cds /cds=(14,1603) /gb=J05428 /gi=340079 /ug=Hs.10319 /len=1855",-1362.0999999999999,A,-987.10000000000002,A,215.59999999999999,A,950.79999999999995,P,363.19999999999999,A,7.2999999999999998,A,510,A,852.39999999999998,A
41378_at,Cluster Incl. AF010236:Homo sapiens mRNA from chromosome 5q31-33 region /cds=UNKNOWN /gb=AF010236 /gi=2707623 /ug=Hs.10323 /len=1379,-850.10000000000002,A,3643.5999999999999,A,-302.5,A,130.90000000000001,A,907,A,545.60000000000002,A,104.59999999999999,A,299.39999999999998,A
41379_at,"Cluster Incl. AB011166:Homo sapiens mRNA for KIAA0594 protein, partial cds /cds=(0,2648) /gb=AB011166 /gi=3043711 /ug=Hs.103283 /len=5191",2359.3000000000002,P,1905.8,A,3070.6999999999998,P,378.10000000000002,A,1317.8,A,3690.8000000000002,P,2778.4000000000001,P,1529.7,P
41380_at,"Cluster Incl. AF053003:Homo sapiens diphthamide biosynthesis protein-2 (DPH2) mRNA, complete cds /cds=(161,1630) /gb=AF053003 /gi=3170457 /ug=Hs.103300 /len=2462",2258.9000000000001,A,-2151.5999999999999,A,952.79999999999995,A,-242.40000000000001,A,1426.5,A,789.29999999999995,A,2198.9000000000001,A,3605.9000000000001,P
41381_at,"Cluster Incl. AB002306:Human mRNA for KIAA0308 gene, partial cds /cds=(0,3895) /gb=AB002306 /gi=2224556 /ug=Hs.10351 /len=6452",772.70000000000005,A,577.29999999999995,A,5239.5,P,3473.9000000000001,P,488.30000000000001,A,3826.0999999999999,P,3077,P,1095.7,M
41382_at,"Cluster Incl. AJ000342:Homo sapiens mRNA for DMBT1 6 kb transcript variant 1 (DMBT1/6kb.1) /cds=(106,5463) /gb=AJ000342 /gi=2398620 /ug=Hs.103594 /len=5802",851.29999999999995,A,6802,A,3371.4000000000001,A,521.20000000000005,A,5226.1000000000004,A,2309,A,2905.5,A,4202,P
41383_at,"Cluster Incl. AJ001403:Homo sapiens mNRA for MUC5AC protein (placental) /cds=(0,3245) /gb=AJ001403 /gi=3334746 /ug=Hs.103707 /len=3681",5748.3999999999996,A,429.80000000000001,A,4060.4000000000001,A,4885.5,A,2408.9000000000001,A,5381.6999999999998,A,4999.3000000000002,A,2486.6999999999998,A
41384_at,"Cluster Incl. AF117829:Homo sapiens 8q21.3- RICK gene /cds=(224,1846) /gb=AF117829 /gi=4151947 /ug=Hs.103755 /len=2502",97.099999999999994,A,2958.0999999999999,A,-294.89999999999998,A,-227,A,-509.10000000000002,A,-94.700000000000003,A,654.70000000000005,A,49.700000000000003,A
41385_at,"Cluster Incl. AB023204:Homo sapiens mRNA for KIAA0987 protein, partial cds /cds=(0,3349) /gb=AB023204 /gi=4589617 /ug=Hs.103839 /len=4446",1071.5,A,1754.9000000000001,A,568.70000000000005,M,2586.6999999999998,P,76.700000000000003,A,364.89999999999998,A,-111.7,A,1198.9000000000001,A
41386_i_at,"Cluster Incl. AB002344:Human mRNA for KIAA0346 gene, partial cds /cds=(0,4852) /gb=AB002344 /gi=2280479 /ug=Hs.103915 /len=6121",4761.6999999999998,A,4477.1000000000004,A,5184.3000000000002,P,5912.8000000000002,P,4601.1999999999998,P,5652.1999999999998,P,6655.5,P,4843.8000000000002,P
41387_r_at,"Cluster Incl. AB002344:Human mRNA for KIAA0346 gene, partial cds /cds=(0,4852) /gb=AB002344 /gi=2280479 /ug=Hs.103915 /len=6121",1955.9000000000001,A,893.5,A,-191.09999999999999,A,5113.5,P,4015.6999999999998,A,668.29999999999995,P,3825.5,A,4189.6999999999998,A
41388_at,"Cluster Incl. AF017418:Homo sapiens homeobox protein MEIS2 (MEIS2) mRNA, partial cds /cds=(0,376) /gb=AF017418 /gi=2394309 /ug=Hs.104105 /len=1879",1293.3,A,-1613.3,A,381.5,A,1371.5999999999999,A,3339.1999999999998,A,971.20000000000005,A,993.79999999999995,A,-427.19999999999999,A
41389_s_at,"Cluster Incl. U46193:Human renal cell carcinoma antigen RAGE-3 mRNA, complete putative cds /cds=UNKNOWN /gb=U46193 /gi=1517904 /ug=Hs.104119 /len=1235",3751.4000000000001,A,3246,A,1623.9000000000001,A,2781.9000000000001,A,3545.4000000000001,P,456.60000000000002,A,-1563.7,A,-782.60000000000002,A
41390_at,"Cluster Incl. X69086:H.sapiens mRNA for utrophin /cds=(0,10301) /gb=X69086 /gi=34811 /ug=Hs.104252 /len=10302",2650,A,-1828.8,A,7740.8000000000002,P,1452.4000000000001,A,1975.5999999999999,A,5604.6999999999998,P,4505.6000000000004,P,5412.3000000000002,P
41391_at,"Cluster Incl. AB000466:Homo sapiens mRNA, exon 1, 2, 3, clone-RES4-24C /cds=UNKNOWN /gb=AB000466 /gi=1843397 /ug=Hs.104258 /len=3006",127.5,A,1973.0999999999999,A,152.80000000000001,A,-264.30000000000001,A,576,A,-343.10000000000002,A,-5.9000000000000004,A,-57.799999999999997,A
41392_at,"Cluster Incl. AB000464:Homo sapiens mRNA, exon 1, 2, 3, 4, clone-RES4-24A /cds=UNKNOWN /gb=AB000464 /gi=1843395 /ug=Hs.104258 /len=3846",-421,A,2049,A,967.70000000000005,A,-1200.7,A,12.800000000000001,A,227.80000000000001,A,75.799999999999997,A,-129.09999999999999,A
41393_at,"Cluster Incl. AF003540:Homo sapiens Krueppel family zinc finger protein (znfp104) mRNA, complete cds /cds=(45,1934) /gb=AF003540 /gi=2384652 /ug=Hs.104382 /len=2394",425.10000000000002,A,-3242.6999999999998,A,940.79999999999995,A,-266.80000000000001,A,373.69999999999999,A,935.60000000000002,P,541.10000000000002,A,955.10000000000002,P
41394_at,"Cluster Incl. AF038440:Homo sapiens phospholipase D2 (PLD2) mRNA, splice variant hPLD2a, complete cds /cds=(84,2885) /gb=AF038440 /gi=2773041 /ug=Hs.104519 /len=3452",-1272.9000000000001,A,1666.0999999999999,A,183.59999999999999,A,1122.8,A,-373.69999999999999,A,620.29999999999995,A,28.699999999999999,A,-951.5,A
41395_at,"Cluster Incl. AB003791:Homo sapiens mRNA for keratan sulfate Gal-6-sulfotransferase, complete cds /cds=(366,1601) /gb=AB003791 /gi=2887402 /ug=Hs.104576 /len=2415",1772.5,A,4133.5,P,1472.2,A,1400.5,A,3019.6999999999998,A,1781.3,M,1532.5,A,2774,A
41396_at,"Cluster Incl. AB006629:Homo sapiens mRNA for KIAA0291 gene, partial cds /cds=(0,2856) /gb=AB006629 /gi=2564329 /ug=Hs.104717 /len=4943",5053.6000000000004,P,9022.7000000000007,P,11030,P,274.80000000000001,A,6250.8999999999996,P,8903.2000000000007,P,12367.5,P,6116.6000000000004,P
41397_at,"Cluster Incl. AF070588:Homo sapiens clone 24554 unknown mRNA /cds=(376,1488) /gb=AF070588 /gi=3387961 /ug=Hs.104788 /len=1821",-549,A,-5066,A,-289.39999999999998,A,-534.70000000000005,A,604.79999999999995,A,218.5,A,347.19999999999999,A,-1379.5,A
41398_at,Cluster Incl. AL049305:Homo sapiens mRNA; cDNA DKFZp564A186 (from clone DKFZp564A186) /cds=UNKNOWN /gb=AL049305 /gi=4500074 /ug=Hs.104916 /len=1652,989.10000000000002,A,-1335.2,A,1186,M,370.60000000000002,A,780.29999999999995,A,1575.4000000000001,P,1621.0999999999999,A,1128.5,A
41399_at,"Cluster Incl. AB029034:Homo sapiens mRNA for KIAA1111 protein, partial cds /cds=(0,3255) /gb=AB029034 /gi=5689558 /ug=Hs.105061 /len=4695",2361.5999999999999,A,496.10000000000002,A,3122.5999999999999,P,3930.6999999999998,P,3029.9000000000001,P,6954.6999999999998,P,4971.8999999999996,P,1488.8,A
41400_at,"Cluster Incl. K02581:Human thymidine kinase mRNA, complete cds /cds=(57,761) /gb=K02581 /gi=339708 /ug=Hs.105097 /len=1421",2358.6999999999998,A,1815.5999999999999,A,8200.2000000000007,P,3361,A,6791.6999999999998,P,12023.1,P,5691,P,3237.5999999999999,A
41401_at,"Cluster Incl. U57646:Homo sapiens cysteine and glycine-rich protein 2 (CSRP2) mRNA, complete cds /cds=(56,637) /gb=U57646 /gi=1373337 /ug=Hs.10526 /len=883",1838.5999999999999,A,14021.5,P,6013.6999999999998,P,-480.39999999999998,A,-1702.0999999999999,A,1947.7,P,1742.7,A,533.5,A
41402_at,"Cluster Incl. AL080121:Homo sapiens mRNA; cDNA DKFZp564O0823 (from clone DKFZp564O0823) /cds=(170,904) /gb=AL080121 /gi=5262554 /ug=Hs.105460 /len=2135",-397.89999999999998,A,1603.5999999999999,A,619.60000000000002,A,-1018.5,A,599.79999999999995,A,441.5,A,155.40000000000001,A,-372.89999999999998,A
41403_at,"Cluster Incl. AI032612:ow17e07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1647108 /clone_end=3   /gb=AI032612 /gi=3253738 /ug=Hs.105465 /len=582",11909.6,P,7442.8000000000002,P,10407.4,P,17918.799999999999,P,14118.6,P,9431.2000000000007,P,17224.099999999999,P,11400,P
41404_at,"Cluster Incl. AJ010119:Homo sapiens mRNA for Ribosomal protein kinase B (RSK-B) /cds=(65,2383) /gb=AJ010119 /gi=3452408 /ug=Hs.105584 /len=3118",2431.5999999999999,A,5335.5,A,1894.2,A,3485.9000000000001,P,3746.8000000000002,A,569.60000000000002,A,1806.9000000000001,A,2701.3000000000002,A
41405_at,"Cluster Incl. AF026692:Homo sapiens frizzled related protein frpHE mRNA, complete cds /cds=(257,1297) /gb=AF026692 /gi=2920803 /ug=Hs.105700 /len=2840",-827.89999999999998,A,107.40000000000001,A,-127.09999999999999,A,889.60000000000002,A,2235.0999999999999,A,214.40000000000001,A,641,A,1568.8,P
41406_at,Cluster Incl. AL080172:Homo sapiens mRNA; cDNA DKFZp434G231 (from clone DKFZp434G231) /cds=UNKNOWN /gb=AL080172 /gi=5262642 /ug=Hs.105894 /len=3406,3671.1999999999998,P,1251.5999999999999,A,10541.799999999999,P,3141.3000000000002,P,2841.8000000000002,P,9389.2000000000007,P,4534.6000000000004,P,3371.1999999999998,P
41407_at,"Cluster Incl. L03411:Human RD protein (RD) mRNA, complete cds /cds=(86,1228) /gb=L03411 /gi=190973 /ug=Hs.106061 /len=1301",12725.799999999999,P,3819.9000000000001,P,7834.3999999999996,P,6845,P,6964.8999999999996,P,6132.6000000000004,P,5997.6000000000004,P,4549.1000000000004,P
41408_at,"Cluster Incl. AF042169:Homo sapiens putative ATP-dependent mitochondrial RNA helicase (SUV3) mRNA, nuclear gene encoding mitochondrial protein, complete cds /cds=(0,2360) /gb=AF042169 /gi=2801554 /ug=Hs.106469 /len=2361",-389.80000000000001,A,-1052.3,A,789,A,-556.89999999999998,A,803.79999999999995,A,1173.0999999999999,P,868.20000000000005,A,1254.4000000000001,A
41409_at,"Cluster Incl. AF044896:Homo sapiens ICB-1 mRNA, complete cds /cds=(128,982) /gb=AF044896 /gi=3132521 /ug=Hs.10649 /len=2366",8050.3000000000002,P,8440.1000000000004,A,2993.6999999999998,P,8629.1000000000004,P,1240.0999999999999,A,12500,P,3294.8000000000002,P,3406.0999999999999,A
41410_at,Cluster Incl. W29042:55d9 Homo sapiens cDNA /gb=W29042 /gi=1308999 /ug=Hs.106529 /len=753,894.29999999999995,A,-762.79999999999995,A,655.29999999999995,A,-1139.8,A,1213.8,A,602.60000000000002,P,69.299999999999997,A,354.10000000000002,A
41411_at,"Cluster Incl. AI566877:tn24f02.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2168571 /clone_end=3   /gb=AI566877 /gi=4525329 /ug=Hs.106529 /len=581",5155.8000000000002,P,-1378.4000000000001,A,2336.5999999999999,P,3241.4000000000001,P,892.89999999999998,A,1632.7,P,1709.7,A,4551.1999999999998,P
41412_at,"Cluster Incl. AL023553:dJ347H13.2 (human ortholog of rat Pippin) /cds=(221,682) /gb=AL023553 /gi=4490860 /ug=Hs.106635 /len=2454",-1808,A,885.89999999999998,A,-947.5,A,-1023.6,A,-2205.1999999999998,A,-908.79999999999995,A,-1754.5999999999999,A,582.39999999999998,A
41413_at,"Cluster Incl. AF037339:Homo sapiens cleft lip and palate transmembrane protein 1 (CLPTM1) mRNA, complete cds /cds=(15,2024) /gb=AF037339 /gi=4063032 /ug=Hs.106671 /len=2468",5363.6000000000004,A,3654.1999999999998,A,1866.3,A,2794.0999999999999,M,2777,A,3790.0999999999999,A,3368,A,3370.6999999999998,A
41414_at,"Cluster Incl. AL050346:Novel human gene mapping to chomosome 22 /cds=(372,1532) /gb=AL050346 /gi=4902717 /ug=Hs.106730 /len=1738",2108.1999999999998,A,-4914.6999999999998,A,3949.0999999999999,A,89.700000000000003,A,-3950,A,-3284.4000000000001,A,-476.69999999999999,A,-756.70000000000005,A
41415_at,"Cluster Incl. L36720:Homo sapiens bystin mRNA, complete cds /cds=(64,984) /gb=L36720 /gi=1160618 /ug=Hs.106880 /len=1262",5241.6999999999998,A,6345.8000000000002,A,6275,P,3253.5,A,4345,A,3587.6999999999998,A,5228.5,P,7576.3000000000002,P
41416_at,"Cluster Incl. D14446:Human HFREP-1 mRNA for unknown protein, complete cds /cds=(78,1016) /gb=D14446 /gi=393314 /ug=Hs.107 /len=1215",-617.39999999999998,A,578.10000000000002,A,1052.0999999999999,P,520.29999999999995,A,741.39999999999998,A,-206.59999999999999,A,-224.69999999999999,A,-801.60000000000002,A
41417_at,"Cluster Incl. AC003108:Human Chromosome 16 BAC clone CIT987SK-327O24 /cds=(0,1181) /gb=AC003108 /gi=2833632 /ug=Hs.107014 /len=1182",2452.1999999999998,A,2633.1999999999998,A,472.69999999999999,A,904.5,A,1504.3,A,530.5,A,1313.9000000000001,P,248.09999999999999,A
41418_at,"Cluster Incl. AB020628:Homo sapiens mRNA for KIAA0821 protein, complete cds /cds=(298,4722) /gb=AB020628 /gi=4240127 /ug=Hs.107054 /len=5645",1603.5,A,4403.6000000000004,A,2741.5999999999999,P,3956.6999999999998,A,1449.3,A,1022.4,A,1190.2,A,2233.6999999999998,A
41419_at,Cluster Incl. AL080142:Homo sapiens mRNA; cDNA DKFZp434N103 (from clone DKFZp434N103) /cds=UNKNOWN /gb=AL080142 /gi=5262589 /ug=Hs.107056 /len=2166,959.20000000000005,A,-1456.4000000000001,A,-712.5,A,966,A,-166.59999999999999,A,-658.89999999999998,A,260,A,785.89999999999998,A
41420_at,"Cluster Incl. AF055033:Homo sapiens clone 24645 insulin-like growth factor binding protein 5 (IGFBP5) mRNA, complete cds /cds=(751,1569) /gb=AF055033 /gi=3005763 /ug=Hs.107169 /len=1702",-305.19999999999999,A,1038,A,403.5,A,173.40000000000001,A,2848.3000000000002,A,-453,A,-359.19999999999999,A,-81.299999999999997,A
41421_at,"Cluster Incl. AB020716:Homo sapiens mRNA for KIAA0909 protein, partial cds /cds=(0,3706) /gb=AB020716 /gi=4240306 /ug=Hs.107362 /len=4465",3645.5,A,3553.5999999999999,P,3919,P,1727.2,A,2394.5999999999999,A,3373.5,P,1680.2,P,2389.5999999999999,P
41422_at,"Cluster Incl. D78011:Homo sapiens mRNA for dihydropyrimidinase, complete cds /cds=(129,1688) /gb=D78011 /gi=2339965 /ug=Hs.10755 /len=2123",-113.59999999999999,A,-383.60000000000002,A,472.30000000000001,A,1083.5999999999999,A,1883.5999999999999,A,158.69999999999999,A,-458.30000000000001,A,877.70000000000005,A
41423_at,"Cluster Incl. AB018269:Homo sapiens mRNA for KIAA0726 protein, complete cds /cds=(538,3444) /gb=AB018269 /gi=3882172 /ug=Hs.107809 /len=4300",5742.6999999999998,P,3738.5999999999999,A,4673.1999999999998,P,3500.0999999999999,A,3651.5,A,3985.5,P,3038.1999999999998,A,2040.3,A
41424_at,"Cluster Incl. L48516:Homo sapiens paraoxonase 3 (PON3) mRNA, 3 end of cds /cds=(0,1025) /gb=L48516 /gi=1333633 /ug=Hs.107966 /len=1038",-649.89999999999998,A,1192.5,A,-3.6000000000000001,A,1614.5,P,-203.40000000000001,A,945.70000000000005,A,-202.69999999999999,A,326.69999999999999,A
41425_at,"Cluster Incl. M98833:Human ERGB transcription factor (FLI-1 homolog) mRNA, complete cds /cds=(172,1527) /gb=M98833 /gi=182188 /ug=Hs.108043 /len=2954",1374.5999999999999,A,4864.8000000000002,A,4013,P,1571.5999999999999,P,2021.7,P,2973.4000000000001,P,3937.3000000000002,P,4599.8000000000002,P
41426_at,"Cluster Incl. U38864:Human zinc-finger protein C2H2-150 mRNA, complete cds /cds=(220,1065) /gb=U38864 /gi=1055340 /ug=Hs.108139 /len=2235",2635.4000000000001,A,984.89999999999998,A,2943.9000000000001,P,-2492.5999999999999,A,2857.1999999999998,A,-617.29999999999995,A,-2155,A,509.10000000000002,P
41427_at,"Cluster Incl. AI733704:qe50d10.x5 Homo sapiens cDNA, 3 end /clone=IMAGE-1742419 /clone_end=3   /gb=AI733704 /gi=5054817 /ug=Hs.108219 /len=624",1158.2,A,-5024.8000000000002,A,-1237.5,A,-1936.2,A,-2006.5999999999999,A,-2191,A,-2716.1999999999998,A,-3969.9000000000001,A
41428_at,"Cluster Incl. AF104942:Homo sapiens ABC transporter MOAT-C (MOAT-C) mRNA, complete cds /cds=(125,4438) /gb=AF104942 /gi=4140697 /ug=Hs.108660 /len=5801",3525.6999999999998,A,3170.0999999999999,P,2447.8000000000002,P,1634.5,A,5685.6000000000004,A,1269.3,P,1304.5999999999999,A,2911.3000000000002,P
41429_at,"Cluster Incl. M65254:Protein phosphatase 2A 65 kDa regulatory subunit-beta mRNA, complete cds /cds=(0,1727) /gb=M65254 /gi=189429 /ug=Hs.108705 /len=2239",-1138.5999999999999,A,1650.2,A,-130.40000000000001,A,383.10000000000002,A,2457.0999999999999,A,1825.9000000000001,P,1384.9000000000001,A,1430,A
41430_at,"Cluster Incl. AB011113:Homo sapiens mRNA for KIAA0541 protein, partial cds /cds=(0,3484) /gb=AB011113 /gi=3043605 /ug=Hs.10881 /len=6072",2534.5999999999999,A,46.600000000000001,A,2107.3000000000002,A,2502.1999999999998,P,620.89999999999998,A,2961.3000000000002,P,897.60000000000002,A,1188.9000000000001,A
41431_at,"Cluster Incl. AB023153:Homo sapiens mRNA for KIAA0936 protein, complete cds /cds=(266,2164) /gb=AB023153 /gi=4589515 /ug=Hs.108850 /len=6014",1154.8,A,2540.9000000000001,A,1381.7,P,-1887.7,A,1287.5,A,1824.5999999999999,P,741.39999999999998,A,2342.9000000000001,P
41432_at,"Cluster Incl. AF090421:Homo sapiens ribosome S6 protein kinase mRNA, complete cds /cds=(164,2593) /gb=AF090421 /gi=3818591 /ug=Hs.109058 /len=3818",1325.7,A,1807.7,A,742.60000000000002,A,2288,A,649.70000000000005,A,815.10000000000002,A,697.39999999999998,A,2868.3000000000002,P
